iter	Logloss
0	0.6638106728
1	0.6401020444
2	0.6216632949
3	0.6044393561
4	0.5898538898
5	0.5785591855
6	0.5610689334
7	0.5499096518
8	0.5355667014
9	0.5251872195
10	0.5117790722
11	0.5045454641
12	0.4982950738
13	0.4920195503
14	0.4852988763
15	0.4793112435
16	0.4722777909
17	0.4671601871
18	0.4596827823
19	0.4552142416
20	0.4505636873
21	0.4477558712
22	0.4446345649
23	0.4414722466
24	0.435675222
25	0.4305259331
26	0.4248017569
27	0.4214212826
28	0.4185197097
29	0.4167518884
30	0.4139575825
31	0.4123299379
32	0.4102261199
33	0.4074083697
34	0.404121889
35	0.4022311979
36	0.4005166113
37	0.399523856
38	0.3946604934
39	0.3937793452
40	0.3917650491
41	0.390700569
42	0.3894111645
43	0.3878633054
44	0.387017136
45	0.3863125035
46	0.3849359927
47	0.3846261915
48	0.383404805
49	0.3826001213
50	0.3820661492
51	0.3810927796
52	0.3806824048
53	0.3795255487
54	0.3790816152
55	0.376904591
56	0.3762725719
57	0.3753921795
58	0.3746720362
59	0.3741398568
60	0.3734588215
61	0.3728853691
62	0.3723630528
63	0.3718185031
64	0.3690407669
65	0.3684611235
66	0.3681118001
67	0.3676311648
68	0.3674062787
69	0.3667996888
70	0.3661655337
71	0.3659384348
72	0.3654813859
73	0.3644748622
74	0.3640092663
75	0.363699776
76	0.3630663354
77	0.3624400686
78	0.3618108055
79	0.3614315587
80	0.3610382287
81	0.3607909972
82	0.3605044738
83	0.3599931718
84	0.3596283651
85	0.3592029884
86	0.3587997085
87	0.3579787878
88	0.3573851754
89	0.3560859098
90	0.3552144039
91	0.3548876114
92	0.3540164124
93	0.3537467345
94	0.3531052641
95	0.3521350806
96	0.3517109204
97	0.3490284414
98	0.3483651696
99	0.3463241901
100	0.3449081623
101	0.3447508247
102	0.3428400688
103	0.3423660742
104	0.3409402857
105	0.3406510389
106	0.3402480318
107	0.3400508614
108	0.3398491369
109	0.3394283963
110	0.3389141875
111	0.3384528967
112	0.3380810712
113	0.3376488536
114	0.3371989568
115	0.3357757953
116	0.3350189371
117	0.3343800914
118	0.3341652591
119	0.334073822
120	0.3338167441
121	0.3335256259
122	0.3331073782
123	0.3313924513
124	0.3302787679
125	0.3296829705
126	0.3293508876
127	0.3284487359
128	0.3260268549
129	0.3255829876
130	0.3251100708
131	0.3246236681
132	0.3244665151
133	0.3241747031
134	0.3238509645
135	0.3233197795
136	0.3226995391
137	0.3213120238
138	0.3205965672
139	0.3200884091
140	0.3195981959
141	0.3193889274
142	0.3190635898
143	0.3181691029
144	0.3178964079
145	0.3157150983
146	0.3153036029
147	0.3145032192
148	0.3143423669
149	0.3138279345
150	0.3134776095
151	0.3132880721
152	0.3128139829
153	0.3124540004
154	0.3120442872
155	0.3117223248
156	0.3112214351
157	0.3107206197
158	0.310477109
159	0.3101471312
160	0.3097812203
161	0.3094086574
162	0.3087568898
163	0.3085029709
164	0.3081797502
165	0.3072979826
166	0.3070116711
167	0.3066815744
168	0.3063627345
169	0.3059401367
170	0.305479377
171	0.3050540794
172	0.3041002634
173	0.3036380322
174	0.3027956677
175	0.3024052621
176	0.3007402696
177	0.2999944319
178	0.2993860839
179	0.2989658744
180	0.2984184196
181	0.29805194
182	0.2975246658
183	0.2971470072
184	0.296794478
185	0.2960751044
186	0.2956815106
187	0.2954399017
188	0.2950574738
189	0.2946651914
190	0.2943114885
191	0.2939906227
192	0.2937637952
193	0.293452961
194	0.2921642106
195	0.2917441066
196	0.291298302
197	0.2907694422
198	0.2905602016
199	0.2901778506
200	0.2897954988
201	0.2894440807
202	0.2888845253
203	0.2886845038
204	0.2881721118
205	0.2877759201
206	0.2874256095
207	0.2869975023
208	0.2866526583
209	0.2863749759
210	0.2860876899
211	0.2859017892
212	0.28553862
213	0.2852772222
214	0.2849650808
215	0.2846466087
216	0.2843529265
217	0.2838170929
218	0.2833446227
219	0.2829127749
220	0.2826233569
221	0.2823321844
222	0.2819719432
223	0.2817984036
224	0.2813048037
225	0.2809899899
226	0.2807194617
227	0.2804778209
228	0.2802212386
229	0.2799545594
230	0.2795057257
231	0.2791126817
232	0.2788527048
233	0.2786683399
234	0.278342881
235	0.2780348745
236	0.2777076501
237	0.2772962697
238	0.2769343262
239	0.2766960446
240	0.2765515752
241	0.2762736074
242	0.2758825778
243	0.2757987026
244	0.2754191263
245	0.2750249269
246	0.2746879266
247	0.2744368563
248	0.2741859261
249	0.2738753698
250	0.2737421857
251	0.2735299369
252	0.2731823306
253	0.2729110907
254	0.2725652813
255	0.2717730126
256	0.2715690547
257	0.2714775653
258	0.2703645946
259	0.2699850625
260	0.2696966393
261	0.2693214784
262	0.2689973649
263	0.2686820624
264	0.2685949065
265	0.2685118987
266	0.2679263075
267	0.2676605518
268	0.2674900185
269	0.2672534889
270	0.2670638734
271	0.2669061218
272	0.2666394035
273	0.2665631652
274	0.2662294202
275	0.2660737219
276	0.2658443523
277	0.2656227718
278	0.2655536052
279	0.2653820007
280	0.2653162984
281	0.2650819699
282	0.2647931364
283	0.2645458116
284	0.2643178463
285	0.2641710241
286	0.263916394
287	0.263655379
