iter	Logloss
288	0.2634120141
289	0.2631455749
290	0.2629461026
291	0.262805589
292	0.2626752298
293	0.262241201
294	0.2620520969
295	0.2618210401
296	0.2616920445
297	0.2613608834
298	0.2611510209
299	0.2609128646
300	0.2607996581
301	0.2606156065
302	0.2603852349
303	0.2600821525
304	0.2595560672
305	0.2590961275
306	0.2588285902
307	0.2587062392
308	0.2585470556
309	0.2583382528
310	0.2581484694
311	0.2579174763
312	0.2577029271
313	0.2575682608
314	0.2573553193
315	0.2573045176
316	0.2563393105
317	0.2561029807
318	0.2560551209
319	0.2555924655
320	0.2554948359
321	0.2551395504
322	0.254920147
323	0.2546623684
324	0.2545194931
325	0.2543157057
326	0.2541110299
327	0.2538036681
328	0.2535015875
329	0.2532749922
330	0.253089246
331	0.2528816121
332	0.25283887
333	0.2525532955
334	0.2522952542
335	0.2521148599
336	0.2520744725
337	0.2519744534
338	0.251511337
339	0.2513466843
340	0.2511143648
341	0.250932808
342	0.2507323696
343	0.2505266741
344	0.2502568618
345	0.2500981924
346	0.250019097
347	0.2491940861
348	0.2486584091
349	0.2484552458
350	0.2483148872
351	0.2480510713
352	0.2477978062
353	0.2476124042
354	0.2474206412
355	0.2471902541
356	0.2470697763
357	0.2464783374
358	0.2459508
359	0.2456120511
360	0.2454300981
361	0.2453085493
362	0.2450506549
363	0.2445648014
364	0.2443919068
365	0.2441081345
366	0.2439605944
367	0.2438707055
368	0.2435923353
369	0.2432621989
370	0.2428228011
371	0.2425794243
372	0.2424686523
373	0.2421673798
374	0.2419622768
375	0.2415622923
376	0.2414017423
377	0.2412742875
378	0.2409717844
379	0.2407225899
380	0.2406362782
381	0.2404196546
382	0.2401615735
383	0.239992699
384	0.2399215197
385	0.2395686381
386	0.2393938727
387	0.2391479328
388	0.2389614932
389	0.2388366599
390	0.2386684332
391	0.2383295115
392	0.2379963714
393	0.2378906024
394	0.2377472757
395	0.2373531484
396	0.2370894111
397	0.2370235616
398	0.2367650355
399	0.2365741512
